Starting_word, Answer : WordleBot, Precompute Entropy

Results for Starting Word: crane
crane, cacti : 4, 2
crane, minus : 3, 3
crane, abort : 4, 4
crane, class : 5, 3
crane, reuse : 5, 2
crane, boast : 4, 3
crane, hurry : 4, 3
crane, moody : 5, 4
crane, beady : 5, 3
crane, merry : 7, 4
crane, froze : 8, 4
crane, lilac : 4, 3
crane, clang : 4, 2
crane, spurn : 3, 3
crane, groan : 3, 3
crane, mania : 5, 4
crane, fault : 4, 3
crane, plaza : 5, 4
crane, flint : 4, 3
crane, enemy : 5, 4
crane, bloat : 6, 3
crane, spire : 5, 3
crane, clung : 3, 2
crane, ladle : 6, 5
crane, shout : 3, 3
crane, optic : 4, 3
crane, eater : 6, 3
crane, fussy : 4, 5
crane, truer : 3, 3
crane, movie : 5, 3
crane, brush : 4, 4
crane, embed : 5, 3
crane, vaunt : 6, 4
crane, stand : 3, 3
crane, coral : 3, 2
crane, women : 5, 4
crane, throw : 4, 3
crane, scarf : 5, 2
crane, clear : 3, 2
crane, stare : 3, 3
crane, racer : 3, 2
crane, plane : 2, 2
crane, ripen : 3, 3
crane, gaffe : 6, 4
crane, tweet : 5, 3
crane, welsh : 4, 3
crane, yield : 5, 4
crane, steam : 4, 4
crane, visit : 4, 3
crane, brash : 4, 3
crane, diode : 5, 4
crane, vegan : 7, 3
crane, tuber : 5, 4
crane, sheet : 4, 3
crane, above : 6, 4
crane, decoy : 4, 3
crane, gauge : 6, 4
crane, lemon : 4, 3
crane, muddy : 5, 4
crane, virus : 5, 3
crane, regal : 4, 4
crane, aroma : 4, 3
crane, gnash : 3, 3
crane, thump : 4, 3
crane, abate : 5, 3
crane, allot : 4, 4
crane, risen : 3, 4
crane, quest : 6, 3
crane, drink : 5, 3
crane, rabid : 6, 4
crane, lipid : 5, 4
crane, attic : 5, 4
crane, spunk : 5, 5
crane, flask : 5, 3
crane, ninth : 5, 4
crane, meant : 3, 2
crane, shawl : 3, 3
crane, crude : 5, 3
crane, pound : 3, 3
crane, wager : 6, 5
crane, woody : 6, 5
crane, bitty : 6, 4
crane, nutty : 4, 3
crane, watch : 8, 3
crane, mucky : 5, 3
crane, friar : 4, 3
crane, biddy : 5, 3
crane, feral : 4, 4
crane, asset : 4, 3
crane, hobby : 5, 4
crane, ester : 5, 3
crane, sloth : 3, 3
crane, birth : 6, 3
crane, flute : 5, 4
crane, shock : 4, 3
crane, colon : 3, 3
crane, power : 6, 5
crane, wafer : 7, 4
crane, minim : 6, 4
crane, swell : 7, 3
crane, arose : 3, 2
crane, patio : 5, 4
crane, whelp : 5, 4
crane, pearl : 4, 3
crane, decay : 4, 2
crane, entry : 5, 3
crane, crave : 3, 3
crane, right : 3, 3
crane, lying : 6, 4
crane, stalk : 4, 2
crane, quilt : 7, 3
crane, crack : 7, 2
crane, slash : 3, 4
crane, spice : 3, 4
crane, clank : 4, 3
crane, cavil : 4, 3
crane, refer : 8, 4
crane, horde : 4, 4
crane, wordy : 5, 3
crane, style : 4, 3
crane, patch : 5, 4
crane, shire : 4, 4
crane, fecal : 5, 3
crane, alter : 3, 3
crane, tenth : 4, 3
crane, crass : 3, 3
crane, mirth : 4, 4
crane, perch : 4, 3
crane, rebut : 5, 4
crane, fatty : 6, 5
crane, ensue : 4, 3
crane, twang : 5, 4
crane, split : 3, 3
crane, demon : 5, 3
crane, rebus : 5, 3
crane, widow : 4, 4
crane, miser : 3, 3
crane, leaky : 6, 4
crane, smile : 4, 3
crane, viola : 5, 4
crane, shore : 3, 4
crane, white : 5, 4
crane, below : 5, 4
crane, excel : 3, 3
crane, joint : 3, 4
crane, siege : 5, 3
crane, lager : 6, 3
crane, swill : 5, 3
crane, avoid : 4, 3
crane, novel : 4, 3
crane, moral : 4, 4
crane, beast : 4, 5
crane, cease : 3, 2
crane, sprig : 4, 3
crane, worse : 5, 3
crane, focal : 4, 4
crane, drier : 3, 3
crane, brink : 6, 3
crane, leave : 4, 4
crane, shell : 5, 4
crane, china : 2, 2
crane, swift : 6, 3
crane, diver : 5, 4
crane, crick : 6, 3
crane, cacao : 5, 3
crane, thyme : 5, 4
crane, stern : 3, 3
crane, piney : 4, 4
crane, vapid : 5, 3
crane, corny : 2, 2
crane, choke : 4, 3
crane, apart : 5, 4
crane, began : 6, 4
crane, moist : 3, 3
crane, canoe : 2, 2
crane, crowd : 5, 5
crane, black : 4, 3
crane, scale : 2, 2
crane, fraud : 6, 3
crane, forum : 6, 3
crane, fauna : 4, 3
crane, robot : 4, 4
crane, horse : 4, 4
crane, drove : 5, 3
crane, vogue : 6, 3
crane, rainy : 2, 2
crane, might : 7, 4
crane, amble : 5, 3
crane, omega : 4, 4
crane, bleep : 5, 3
crane, flour : 4, 3
crane, butte : 5, 4
crane, grate : 3, 3
crane, waste : 7, 3
crane, lover : 4, 4
crane, witch : 4, 3
crane, poise : 4, 4
crane, dream : 3, 3
crane, check : 5, 3
crane, space : 3, 3
crane, polka : 4, 4
crane, broil : 3, 4
crane, baton : 4, 3
crane, dealt : 3, 3
crane, deter : 5, 3
crane, maize : 4, 4
crane, about : 5, 3
crane, scent : 2, 2
crane, medal : 6, 4
crane, stump : 6, 3
crane, smith : 3, 3
crane, sight : 3, 3
crane, field : 6, 5
crane, gypsy : 4, 3
crane, nadir : 4, 3
crane, covey : 5, 3
crane, slide : 3, 3
crane, gloss : 4, 4
crane, bonus : 3, 3
crane, beget : 5, 3
crane, dense : 4, 3
crane, chasm : 5, 2
crane, glass : 6, 4
crane, dicey : 3, 3
crane, annoy : 4, 4
crane, scrum : 4, 3
crane, lucky : 5, 4
crane, cigar : 4, 3
crane, booty : 5, 3
crane, yearn : 3, 2
crane, depth : 4, 4
crane, maker : 5, 5
crane, globe : 4, 3
crane, heist : 3, 3
crane, icily : 5, 3
crane, fiend : 5, 3
crane, shift : 4, 4
crane, bliss : 6, 3
crane, fifty : 5, 4
crane, hippo : 3, 3
crane, urban : 4, 3
crane, abide : 5, 4
crane, haute : 4, 4
crane, gulch : 6, 4
crane, flume : 5, 3
crane, syrup : 4, 4
crane, uncut : 4, 3
crane, drama : 6, 3
crane, unity : 4, 2
crane, catty : 4, 3
crane, snipe : 5, 3
crane, crawl : 5, 4
crane, shank : 5, 4
crane, befit : 5, 3
crane, vital : 5, 4
crane, dally : 4, 3
crane, fetal : 5, 3
crane, solve : 3, 3
crane, inter : 3, 2
crane, faith : 4, 4
crane, slimy : 5, 3
crane, privy : 5, 4
crane, scrap : 4, 2
crane, shall : 4, 3
crane, zonal : 4, 3
crane, fritz : 4, 3
crane, scowl : 5, 4
crane, stilt : 4, 3
crane, scout : 3, 3
crane, awoke : 5, 4
crane, pulpy : 5, 4
crane, holly : 4, 5
crane, flair : 4, 3
crane, facet : 5, 3
crane, aware : 4, 4
crane, abbey : 5, 3
crane, piece : 4, 3
crane, amend : 4, 2
crane, chief : 5, 3
crane, harem : 4, 3
crane, flaky : 6, 3
crane, wheel : 5, 3
crane, copse : 3, 3
crane, today : 4, 3
crane, flier : 5, 4
crane, reset : 4, 2
crane, ferry : 8, 3
crane, rumor : 5, 4
crane, skate : 3, 3
crane, buddy : 6, 5
crane, hinge : 5, 3
crane, donor : 4, 3
crane, cluck : 6, 3
crane, trump : 6, 3
crane, aloft : 4, 4
crane, digit : 6, 4
crane, haunt : 4, 5
crane, ditto : 4, 4
crane, title : 4, 3
crane, fanny : 4, 4
crane, smoke : 5, 4
crane, vodka : 5, 4
crane, belle : 5, 4
crane, hoard : 3, 3
crane, phony : 4, 4
crane, fable : 5, 3
crane, stick : 3, 3
crane, truss : 7, 3
crane, amiss : 4, 3
crane, gooey : 5, 3
crane, whiff : 6, 3
crane, champ : 5, 3
crane, plush : 4, 3
crane, ditty : 5, 5
crane, amber : 6, 3
crane, think : 5, 4
crane, tidal : 5, 4
crane, sorry : 3, 3
crane, worst : 3, 3
crane, fleck : 5, 3
crane, caper : 3, 3
crane, greet : 3, 3
crane, cumin : 4, 3
crane, after : 3, 4
crane, maybe : 5, 3
crane, pesto : 4, 4
crane, boney : 6, 3
crane, newer : 5, 4
crane, fatal : 5, 3
crane, frame : 6, 4
crane, offer : 6, 5
crane, clamp : 5, 3
